"許可證字號","中文品名","英文品名","有效日期","申請商名稱","發證日期","申請商電話","劑型","用途","簽審文件","製造廠國別","成分","申請商地址","包裝量及單位"
"衛部添製字  002094","檸檬酸","CITRIC ACID (CITRIC ACID ANHYDROUS)","2028/08/15","三福化工股份有限公司","2013/08/15","02-5214161","結晶性粉末","調味劑;;",,,"CITRIC ACID (CITRIC ACID ANHYDROUS);;",,"25.00000公斤"
"衛部添製字  002096","本多酸鈣","CALCIUM PANTOTHENATE","2028/08/19","昭元化成股份有限公司","2013/08/19","02-5061271","粉劑","營養添加劑;;",,,"CALCIUM PANTOTHENATE;;",,"1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤"
"衛部添製字  002097","核黃素 (維生素B2)","RIBOFLAVIN (VITAMIN B2)","2028/08/20","昭元化成股份有限公司","2013/08/20","02-5061271","結晶性粉末","營養添加劑;;",,,"RIBOFLAVIN (VITAMIN B2);;",,"1.00000公斤;5.00000公斤;10.00000公斤;15.00000公斤;1.00000公斤"
"衛部添製字  002100","磷酸二澱粉","DISTARCH PHOSPHATE","2028/08/23","中和澱粉股份有限公司","2013/08/23","049-2642381","粉劑","粘稠劑（糊料）;;",,,"DISTARCH PHOSPHATE;;",,"25.00000公斤;25.00000公斤"
"衛部添製字  002102","丁二酸鈉澱粉","STARCH SODIUM SUCCINATE","2028/08/23","中和澱粉股份有限公司","2013/08/23","049-2642381","粉劑","粘稠劑（糊料）;;",,,"STARCH SODIUM SUCCINATE;;",,"25.00000公斤;25.00000公斤"
"衛部添製字  002104","無水碳酸鈉","SODIUM CARBONATE ANHYDROUS","2028/09/05","長壽化工廠有限公司","2013/09/05","06-2637975","結晶性粉末","品質改良用、釀造用及食品製造用劑;;食品工業用化學藥品;;",,,"SODIUM CARBONATE, ANHYDROUS;;",,"450.00000公克;500.00000公克;1.00000公斤;1.50000公斤;3.00000公斤;4.50000公斤"
"衛部添製字  002105","檸檬酸","CITRIC ACID","2028/09/06","長壽化工廠有限公司","2013/09/06","06-2637975","結晶性粉末","調味劑;;",,,"CITRIC ACID (CITRIC ACID, MONOHYDRATE);;",,"450.00000公克;500.00000公克;1.00000公斤;1.50000公斤;3.00000公斤;4.50000公斤"
"衛部添製字  002128","新紅素-A 保色劑","XIN HONG SU-A COLOR FASTING AGENTS","2028/10/03","州海企業有限公司","2013/10/03","06-2645365","結晶性粉末","保色劑;;",,,"SODIUM CHLORIDE;;SODIUM NITRITE;;CALCIUM PHOSPHATE, TRIBASIC;;",,"1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002129","對羥苯甲酸丁酯","BUTYL P-HYDROXYBENZOATE","2028/10/09","三福化工股份有限公司","2013/10/09","02-5214161","粉劑","防腐劑;;",,,"BUTYL P-HYDROXYBENZOATE;;",,"1.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002130","D-山梨醇液70%","D-SORBITOL SOLUTION 70%","2028/10/09","三福化工股份有限公司","2013/10/09","02-5214161","液劑","甜味劑;;品質改良用、釀造用及食品製造用劑;;",,,"D-SORBITOL SOLUTION 70%;;",,"275.00000公斤;1000.00000公斤;275.00000公斤;270.00000公斤"
"衛部添製字  002133","焦糖色素","CARAMEL COLORS (AMMONIA CARAMEL)","2028/10/16","光益食業有限公司","2013/10/16","04-25341300","液劑","著色劑;;",,,"CARAMEL COLORS;;",,"20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤;1.00000公斤;5.00000公斤;250.00000公斤;1.00000公噸;1.50000公噸;1.20000公噸;1.20000公噸"
"衛部添製字  002134","勝保磷三MG號粉劑","SAN PAUL LIN NO.3MG","2028/10/18","南嘉有限公司","2013/10/18","02-25165051","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM CARBONATE, ANHYDROUS;;SODIUM POLYPHOSPHATE;;SODIUM POLYPHOSPHATE (SODIUM HEXAMETAPHOSPHATE);;SODIUM PYROPHOSPHATE, ANHYDROUS;;",,"1.00000公斤;20.00000公斤"
"衛部添製字  002717","胺基乙酸","GLYCINE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","結晶性粉末","調味劑;;",,,"GLYCINE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;10.00000公克;50.00000公克;20.00000公斤;25.00000公斤"
"衛部添製字  002718","L-麩酸鈉","MONOSODIUM L-GLUTAMATE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","結晶性粉末","調味劑;;",,,"MONOSODIUM L-GLUTAMATE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;50.00000公克;25.00000公斤"
"衛部添製字  002719","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","結晶性粉末","粘稠劑（糊料）;;",,,"SODIUM CARBOXYMETHYL CELLULOSE;;",,"100.00000公克;500.00000公克;1.00000公斤;2.50000公斤;5.00000公斤;20.00000公斤;25.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002720","偏磷酸鈉","SODIUM METAPHOSPHATE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM METAPHOSPHATE;;",,"100.00000公克;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤;50.00000公克;20.00000公斤;25.00000公斤"
"衛部添製字  002721","DL-胺基丙酸","DL-ALANINE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","結晶性粉末","調味劑;;",,,"DL-ALANINE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;10.00000公克;50.00000公克;20.00000公斤;25.00000公斤;20.00000公斤"
"衛部添製字  002722","二氧化矽","SILICON DIOXIDE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"Silicon Dioxide (precipitated silica);;",,"100.00000公克;500.00000公克;1.00000公斤;20.00000公斤;25.00000公斤;50.00000公克;5.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002723","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","粉劑","粘稠劑（糊料）;;",,,"ACETYLATED DISTARCH PHOSPHATE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;50.00000公克;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002725","乳酸","Lactic Acid (88%)","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","液劑","調味劑;;",,,"Lactic Acid (Concentration:88%);;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;25.00000公升;25.00000公斤;20.00000公斤;30.00000公斤;210.00000公升;250.00000公斤;1000.00000公升;1100.00000公斤;1200.00000公斤;1300.00000公斤"
"衛部添製字  002726","氯化鉀","POTASSIUM CHLORIDE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","粉劑","調味劑;;營養添加劑;;",,,"POTASSIUM CHLORIDE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002727","檸檬酸鈉","SODIUM CITRATE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","結晶性粉末","調味劑;;",,,"Sodium Citrate (Sodium Citrate, Dihydrate);;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;50.00000公克;20.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002728","硫酸鈣","CALCIUM SULFATE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","結晶性粉末","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"Calcium Sulfate (Calcium Sulfate, Dihydrate);;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;50.00000公克;1.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002729","醋酸澱粉","STARCH ACETATE","2026/04/27","順慶實業有限公司","2016/04/27","07-7871761","粉劑","粘稠劑（糊料）;;",,,"STARCH ACETATE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;25.00000公斤;50.00000公克;25.00000公斤;20.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002731","元保磷複方食品添加物","YUAN PAORIN","2026/05/06","億元食品股份有限公司","2016/05/06","02-27864827","粉劑","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM POLYPHOSPHATE;;SODIUM PYROPHOSPHATE (ANHYDROUS);;",,"0.50000公斤;0.50000公斤;1.00000公斤;1.00000公斤;20.00000公斤"
"衛部添製字  002732","羥丙基磷酸二澱粉","HYDROXYPROPYL DISTARCH PHOSPHATE","2026/05/05","順慶實業有限公司","2016/05/05","07-7871761","粉劑","粘稠劑（糊料）;;",,,"HYDROXYPROPYL DISTARCH PHOSPHATE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;25.00000公斤;50.00000公克;20.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002735","葡萄糖酸-δ-內酯","GLUCONO-δ-LACTONE(G.D.L)","2026/05/15","順慶實業有限公司","2016/05/15","07-7871761","結晶性粉末","調味劑;;",,,"GLUCONO-δ-LACTONE;;",,"100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤;20.00000公斤"
"衛部添製字  002736","混合濃縮生育醇","TOCOPHEROLS CONCENTRATE, MIXED(MIXED TOCOPHEROLS 95)","2026/05/15","順慶實業有限公司","2016/05/15","07-7871761","油狀物","抗氧化劑;;",,,"Tocopherols Concentrate, Mixed (low-α type) (Total Tocopherols content 100%);;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;20.00000公斤;5.00000公斤;12.00000公斤;15.00000公斤;10.00000公斤;20.00000公斤"
"衛部添製字  002739","甘胺酸鋅","ZINC BISGLYCINATE","2026/05/29","振芳股份有限公司","2016/05/29","02-23415137","粉劑","營養添加劑;;",,,"ZINC BISGLYCINATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002740","健美鮮 (N) 粉劑","TASTY IMPROVER (N)","2026/06/04","振芳股份有限公司","2016/06/04","02-23415137","粉劑","調味劑;;",,,"SALT;;GLYCINE;;DL-ALANINE;;SODIUM CITRATE;;DISODIUM SUCCINATE;;LACTOSE;;SODIUM 5’-GUANYLATE;;SODIUM 5'-INOSINATE;;YEAST EXTRACT;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002741","磷酸","PHOSPHORIC ACID","2026/06/04","順慶實業有限公司","2016/06/04","07-7871761","液劑","調味劑;;",,,,,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;5.00000公斤;25.00000公斤;35.00000公斤;330.00000公斤;1600.00000公斤;20.00000公斤"
"衛部添製字  002742","碳酸鈣","CALCIUM CARBONATE","2026/06/04","順慶實業有限公司","2016/06/04","07-7871761","粉劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"CALCIUM CARBONATE;;",,"50.00000公克;100.00000公克;500.00000公克;1.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002743","甘胺酸鎂","MAGNESIUM BISGLYCINATE","2026/06/08","振芳股份有限公司","2016/06/08","02-23415137","粉劑","營養添加劑;;",,,"MAGNESIUM BISGLYCINATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002744","甘胺酸鈣","CALCIUM BISGLYCINATE","2026/06/08","振芳股份有限公司","2016/06/08","02-23415137","粉劑","營養添加劑;;",,,"CALCIUM BISGLYCINATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002745","L-抗壞血酸 (維生素C)","L-ASCORBIC ACID (VITAMIN C)","2026/06/08","振芳股份有限公司","2016/06/08","02-23415137","結晶性粉末","抗氧化劑;;營養添加劑;;",,,"L-ASCORBIC ACID;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002746","L-抗壞血酸鈉","SODIUM L-ASCORBATE","2026/06/08","振芳股份有限公司","2016/06/08","02-23415137","結晶性粉末","抗氧化劑;;營養添加劑;;",,,"SODIUM L-ASCORBATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002747","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (CLEARAM CH40)","2026/06/17","振芳股份有限公司","2016/06/17","02-23415137","粉劑","粘稠劑（糊料）;;",,,"ACETYLATED DISTARCH ADIPATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;0.90000公斤;2.70000公斤;21.60000公斤;24.30000公斤"
"衛部添製字  002748","鹿角菜膠","CARRAGEENAN (GENU TEXTURIZER TYPE MB-101F)","2026/06/17","振芳股份有限公司","2016/06/17","02-23415137","粉劑","粘稠劑（糊料）;;",,,"CARRAGEENAN;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002749","無水碳酸鈉","SODIUM CARBONATE, ANHYDROUS","2026/06/17","振芳股份有限公司","2016/06/17","02-23415137","結晶性粉末","品質改良用、釀造用及食品製造用劑;;食品工業用化學藥品;;",,,"SODIUM CARBONATE, ANHYDROUS;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002750","氯化鈣","CALCIUM CHLORIDE","2026/06/17","振芳股份有限公司","2016/06/17","02-23415137","顆粒劑","品質改良用、釀造用及食品製造用劑;;營養添加劑;;",,,"Calcium Chloride (Calcium Chloride, Dihydrate);;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002751","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (CLEARAM CH 20)","2026/06/17","振芳股份有限公司","2016/06/17","02-23415137","粉劑","粘稠劑（糊料）;;",,,"ACETYLATED DISTARCH ADIPATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;5.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002752","醋酸澱粉","STARCH ACETATE (MODIFIED STARCH MT-01B)","2026/06/17","振芳股份有限公司","2016/06/17","02-23415137","粉劑","粘稠劑（糊料）;;",,,"STARCH ACETATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002804","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (MODIFIED STARCH AC5)","2026/10/03","新和食品股份有限公司","2016/10/03","02-25954321","粉劑","粘稠劑（糊料）;;",,,"ACETYLATED DISTARCH PHOSPHATE;;",,"25.00000公斤"
"衛部添製字  002753","羧甲基纖維素鈉","SODIUM CARBOXYMETHYL CELLULOSE (CEKOL 4000 CELLULOSE GUM)","2026/06/24","振芳股份有限公司","2016/06/24","02-23415137","粉劑","粘稠劑（糊料）;;",,,"SODIUM CARBOXYMETHYL CELLULOSE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002760","乙醯化磷酸二澱粉","ACETYLATED DISTARCH PHOSPHATE (PREGEFLO PJ 20)","2026/06/27","振芳股份有限公司","2016/06/27","02-23415137","粉劑","粘稠劑（糊料）;;",,,"ACETYLATED DISTARCH PHOSPHATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002762","焦糖色素","CARAMEL COLORS (PLAIN CARAMEL) (CH 1000)","2026/07/04","振芳股份有限公司","2016/07/04","02-23415137","液劑","著色劑;;",,,"CARAMEL COLORS;;",,"1.00000公斤;10.00000公斤;12.00000公斤;30.00000公斤"
"衛部添製字  002763","焦糖色素","CARAMEL COLORS (AMMONIA CARAMEL) (S5000)","2026/07/04","振芳股份有限公司","2016/07/04","02-23415137","液劑","著色劑;;",,,"CARAMEL COLORS;;",,"1.00000公斤;10.00000公斤;12.00000公斤;30.00000公斤"
"衛部添製字  002764","混合濃縮生育醇","Tocopherols Concentrate, Mixed (TOCOPHEROL MXD LBP >95% MXD)","2026/07/04","信意企業股份有限公司","2016/07/04","02-27523137","油狀物","抗氧化劑;;",,,"Tocopherols Concentrate, Mixed (low-α-type);;",,"1.00000公斤"
"衛部添製字  002769","己二烯酸鉀","POTASSIUM SORBATE","2026/07/04","振芳股份有限公司","2016/07/04","02-23415137","其他","防腐劑;;",,,"POTASSIUM SORBATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002770","多磷酸鈉","SODIUM POLYPHOSPHATE (GRANULATED)","2026/07/04","振芳股份有限公司","2016/07/04","02-23415137","微細顆粒","品質改良用、釀造用及食品製造用劑;;結著劑;;",,,"SODIUM POLYPHOSPHATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002771","醋酸澱粉","STARCH ACETATE (MODIFIED STARCH MT-01HH)","2026/07/04","振芳股份有限公司","2016/07/04","02-23415137","粉劑","粘稠劑（糊料）;;",,,"STARCH ACETATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002773","乙醯化己二酸二澱粉","ACETYLATED DISTARCH ADIPATE (MODIFIED STARCH TAS-110)","2026/07/04","振芳股份有限公司","2016/07/04","02-23415137","粉劑","粘稠劑（糊料）;;",,,"ACETYLATED DISTARCH ADIPATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002775","阿斯巴甜","ASPARTAME","2026/07/12","億元食品股份有限公司","2016/07/12","02-27864827","結晶性粉末","甜味劑;;",,,"ASPARTAME;;",,"500.00000公克;1.00000公斤;10.00000公斤;20.00000公斤;10.00000公斤;20.00000公斤"
"衛部添製字  002777","醋酸澱粉","STARCH ACETATE (MODIFIED STARCH T-1)","2026/07/12","振芳股份有限公司","2016/07/12","02-23415137","粉劑","粘稠劑（糊料）;;",,,"STARCH ACETATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002778","醋酸澱粉","STARCH ACETATE (MODIFIED STARCH K-1)","2026/07/12","振芳股份有限公司","2016/07/12","02-23415137","粉劑","粘稠劑（糊料）;;",,,"STARCH ACETATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;20.00000公斤"
"衛部添製字  002779","醋酸澱粉","STARCH ACETATE (ACETYLATED STARCH RA-29)","2026/07/12","振芳股份有限公司","2016/07/12","02-23415137","粉劑","粘稠劑（糊料）;;",,,"STARCH ACETATE;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;10.00000公斤;15.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛部添製字  002780","健美鮮 P 粉劑","TASTY IMPROVER P","2026/07/12","振芳股份有限公司","2016/07/12","02-23415137","粉劑","調味劑;;",,,"LACTOSE;;GLYCINE;;DL-ALANINE;;Sodium 5'-Guanylate;;Sodium 5'-Inosinate;;",,"1.00000公斤;1.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;5.00000公斤;10.00000公斤;20.00000公斤;25.00000公斤"
"衛部添製字  002839","離子交換樹脂","ION EXCHANGE RESIN (HYDROLUX S8288)","2026/12/16","海力士新創科技有限公司","2016/12/16","02-23966266","粒狀","食品工業用化學藥品;;",,,"ION EXCHANGE RESIN;;",,"25.00000公升;50.00000公升;200.00000公升;1000.00000公升"
"衛部添製字  002840","離子交換樹脂","ION EXCHANGE RESIN (HYDROLUX S1467 HD)","2026/12/16","海力士新創科技有限公司","2016/12/16","02-23966266","粒狀","食品工業用化學藥品;;",,,"ION EXCHANGE RESIN;;",,"25.00000公升;50.00000公升;200.00000公升;1000.00000公升"
"衛部添製字  002841","離子交換樹脂","ION EXCHANGE RESIN (HYDROLUX S5458)","2026/12/16","海力士新創科技有限公司","2016/12/16","02-23966266","粒狀","食品工業用化學藥品;;",,,"ION EXCHANGE RESIN;;",,"25.00000公升;50.00000公升;200.00000公升;1000.00000公升"
